Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion
302686, -0.29467773, 0.44580078, 0.8411865, 5.4321284, 5.5541987, 1.5258788, 10.0, 137.0, 58.0, 0
302705, -0.29504395, 0.45202637, 0.83532715, 4.4555664, 6.04248, 1.8920897, 10.0, 137.0, 58.0, 0
302722, -0.28918457, 0.45178223, 0.83239746, 4.333496, 5.8593745, 1.8310546, 10.0, 137.0, 58.0, 0
302743, -0.2857666, 0.4527588, 0.8282471, 5.676269, 4.9438477, 1.6479491, 10.0, 137.0, 58.0, 0
302761, -0.28076172, 0.46203613, 0.82214355, 7.0800776, 4.3945312, 1.586914, 10.0, 137.0, 58.0, 0
302778, -0.27685547, 0.46923828, 0.8137207, 7.3852534, 3.0517576, 1.5258788, 9.0, 139.0, 66.0, 0
302801, -0.27600098, 0.4814453, 0.8062744, 5.3710933, 1.5258788, 0.18310545, 9.0, 139.0, 66.0, 0
302819, -0.27355957, 0.48510742, 0.7993164, 3.0517576, 0.30517578, -1.5258788, 9.0, 139.0, 66.0, 0
302839, -0.26611328, 0.49597168, 0.79589844, 1.8920897, -0.30517578, -1.8920897, 9.0, 139.0, 66.0, 0
302857, -0.2677002, 0.5062256, 0.7944336, 4.211426, -1.5258788, -5.5541987, 9.0, 139.0, 66.0, 0
302875, -0.26086426, 0.49902344, 0.7969971, 6.2866206, -1.0986328, -8.361816, 7.0, 138.0, 65.0, 0
302897, -0.24353027, 0.49389648, 0.82128906, 7.568359, -1.6479491, -10.559081, 7.0, 138.0, 65.0, 0
302915, -0.2475586, 0.4822998, 0.842041, 11.291503, -2.6855466, -14.282226, 7.0, 138.0, 65.0, 0
302935, -0.2512207, 0.44787598, 0.85266113, 12.20703, -2.1362305, -18.066406, 7.0, 138.0, 65.0, 0
302953, -0.25195312, 0.42175293, 0.86743164, 11.352538, -1.2207031, -19.714355, 7.0, 138.0, 65.0, 0
302971, -0.24963379, 0.41149902, 0.87609863, 7.568359, 0.3662109, -19.470215, 14.0, 137.0, 66.0, 0
302992, -0.2512207, 0.43200684, 0.8798828, 5.676269, 2.1362305, -19.104004, 14.0, 137.0, 66.0, 0
303010, -0.24719238, 0.42285156, 0.87109375, 4.4555664, 3.173828, -17.578125, 14.0, 137.0, 66.0, 0
303047, -0.24780273, 0.43151855, 0.8527832, 6.103515, 3.7841794, -15.99121, 14.0, 137.0, 66.0, 0
303029, -0.2446289, 0.42407227, 0.8580322, 3.7231443, 3.601074, -17.028809, 14.0, 137.0, 66.0, 0
303065, -0.25109863, 0.42834473, 0.84313965, 6.896972, 3.1127927, -15.136718, 14.0, 137.0, 66.0, 0
303084, -0.24816895, 0.42199707, 0.8272705, 7.263183, 1.586914, -12.817382, 11.0, 136.0, 68.0, 0
303103, -0.24890137, 0.42541504, 0.821167, 8.178711, -0.18310545, -11.1083975, 11.0, 136.0, 68.0, 0
303120, -0.24731445, 0.42382812, 0.8286133, 8.483887, -2.2583008, -9.82666, 11.0, 136.0, 68.0, 0
303142, -0.25073242, 0.41748047, 0.8269043, 7.3242183, -4.1503906, -7.7514644, 11.0, 136.0, 68.0, 0
303159, -0.25476074, 0.41918945, 0.83032227, 4.1503906, -4.8828125, -4.5776367, 11.0, 136.0, 68.0, 0
303177, -0.2553711, 0.44335938, 0.84106445, 2.2583008, -4.5776367, -2.319336, 17.0, 139.0, 64.0, 0
303200, -0.25927734, 0.45837402, 0.8466797, 2.9296873, -4.638672, -1.9531249, 17.0, 139.0, 64.0, 0
303218, -0.26367188, 0.4420166, 0.8515625, 4.760742, -3.601074, -2.2583008, 17.0, 139.0, 64.0, 0
