Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion
48758, -0.7687988, 0.602417, -0.04260254, 11.657714, -10.131835, 1.4038085, 41.0, 25.0, 29.0, 0
48777, -0.76464844, 0.61743164, -0.032592773, 13.122558, -10.986327, 1.5258788, 41.0, 25.0, 29.0, 0
48795, -0.7611084, 0.62316895, -0.030395508, 14.709472, -11.779784, 1.6479491, 41.0, 25.0, 29.0, 0
48816, -0.7565918, 0.62683105, -0.0345459, 15.319823, -12.023925, 1.2207031, 41.0, 25.0, 29.0, 0
48834, -0.75878906, 0.63049316, -0.03479004, 15.86914, -12.145995, -0.122070305, 41.0, 25.0, 29.0, 0
48850, -0.76086426, 0.64404297, -0.03137207, 17.51709, -11.535644, -1.9531249, 37.0, 27.0, 26.0, 0
48877, -0.7454834, 0.6467285, -0.034057617, 18.432617, -11.169433, -3.7231443, 37.0, 27.0, 26.0, 0
48895, -0.7504883, 0.6512451, -0.0345459, 18.554688, -10.742187, -4.8217773, 37.0, 27.0, 26.0, 0
48914, -0.7553711, 0.65600586, -0.03173828, 18.615723, -9.58252, -7.0190425, 37.0, 27.0, 26.0, 0
48932, -0.741333, 0.6595459, -0.028564453, 19.226074, -8.911133, -8.056641, 37.0, 27.0, 26.0, 0
48953, -0.732666, 0.6595459, -0.03100586, 20.202635, -8.178711, -8.483887, 41.0, 27.0, 30.0, 0
48972, -0.7318115, 0.6522217, -0.033447266, 20.812986, -6.6528316, -10.803222, 41.0, 27.0, 30.0, 0
48990, -0.72839355, 0.6500244, -0.032348633, 20.690916, -5.310058, -12.512206, 41.0, 27.0, 30.0, 0
49011, -0.7315674, 0.6654053, -0.020019531, 19.89746, -4.3945312, -12.512206, 41.0, 27.0, 30.0, 0
49028, -0.7335205, 0.67858887, -0.021972656, 18.859863, -3.7841794, -12.695312, 41.0, 27.0, 30.0, 0
49049, -0.7277832, 0.6951904, -0.025878906, 18.798828, -3.0517576, -14.404296, 40.0, 25.0, 30.0, 0
49068, -0.7161865, 0.7130127, -0.020141602, 21.545408, -2.6855466, -16.418457, 40.0, 25.0, 30.0, 0
49090, -0.7036133, 0.72314453, -0.0126953125, 26.123045, -2.4414062, -17.76123, 40.0, 25.0, 30.0, 0
49111, -0.68847656, 0.7371826, -0.0063476562, 28.747557, -2.2583008, -20.62988, 40.0, 25.0, 30.0, 0
49129, -0.66918945, 0.7421875, 0.0017089844, 28.991697, -2.5634763, -22.705076, 40.0, 25.0, 30.0, 0
49147, -0.6677246, 0.73864746, 0.01171875, 29.052732, -2.807617, -23.376463, 40.0, 25.0, 31.0, 0
49166, -0.67285156, 0.7392578, 0.015136719, 31.555174, -4.0893555, -28.259275, 40.0, 25.0, 31.0, 0
49188, -0.66223145, 0.7458496, 0.016357422, 36.621094, -6.6528316, -31.616209, 40.0, 25.0, 31.0, 0
49208, -0.66308594, 0.74194336, 0.026611328, 43.02978, -10.009766, -31.98242, 40.0, 25.0, 31.0, 0
49226, -0.6796875, 0.72094727, 0.037475586, 49.255367, -13.488769, -31.98242, 40.0, 25.0, 31.0, 0
49249, -0.67785645, 0.6945801, 0.052124023, 55.66406, -16.174316, -31.677244, 39.0, 26.0, 29.0, 0
49268, -0.6756592, 0.67248535, 0.06591797, 60.852047, -18.005371, -30.517576, 39.0, 26.0, 29.0, 0
49291, -0.6850586, 0.6405029, 0.072021484, 63.110348, -18.066406, -28.503416, 39.0, 26.0, 29.0, 0
49308, -0.7044678, 0.626709, 0.07739258, 63.35449, -17.700195, -27.709959, 39.0, 26.0, 29.0, 0
49326, -0.7036133, 0.61535645, 0.07519531, 66.95557, -18.554688, -23.437498, 39.0, 26.0, 29.0, 0
49347, -0.69384766, 0.59106445, 0.076049805, 68.29834, -18.737793, -21.362303, 39.0, 25.0, 34.0, 0
49366, -0.71520996, 0.5826416, 0.063964844, 65.85693, -20.1416, -16.540527, 39.0, 25.0, 34.0, 0
49384, -0.7130127, 0.583374, 0.05834961, 64.51416, -21.606443, -14.587401, 39.0, 25.0, 34.0, 0
49405, -0.69433594, 0.58618164, 0.056518555, 66.65039, -24.780272, -7.690429, 39.0, 25.0, 34.0, 0
49422, -0.692749, 0.56811523, 0.055664062, 69.885254, -27.038572, -1.7700194, 39.0, 25.0, 34.0, 0
49440, -0.6904297, 0.54455566, 0.026367188, 67.0166, -29.541014, 1.4648436, 39.0, 25.0, 34.0, 0
49461, -0.70251465, 0.53308105, 0.00793457, 61.889645, -32.89795, 7.5073237, 34.0, 28.0, 32.0, 0
49480, -0.7167969, 0.5296631, 0.027954102, 55.54199, -35.52246, 15.136718, 34.0, 28.0, 32.0, 0
49502, -0.7290039, 0.55163574, 0.028320312, 52.429195, -39.18457, 20.38574, 34.0, 28.0, 32.0, 0
49520, -0.77111816, 0.57470703, 0.020751953, 49.011227, -44.67773, 25.024412, 34.0, 28.0, 32.0, 0
49536, -0.798584, 0.5683594, 0.001953125, 44.92187, -51.269527, 32.043457, 34.0, 28.0, 32.0, 0
49559, -0.82788086, 0.5827637, 0.010009766, 44.372555, -54.01611, 35.095215, 27.0, 28.0, 36.0, 0
49578, -0.8466797, 0.6147461, 0.013183594, 50.354, -62.133785, 40.222164, 27.0, 28.0, 36.0, 0
49600, -0.8770752, 0.62683105, -0.0073242188, 57.92236, -67.993164, 42.846676, 27.0, 28.0, 36.0, 0
49618, -0.8796387, 0.6234131, -0.010009766, 62.622066, -72.143555, 47.302242, 27.0, 28.0, 36.0, 0
49635, -0.8758545, 0.5765381, -0.013916016, 69.33594, -79.10156, 31.433104, 27.0, 28.0, 36.0, 0
49657, -0.890625, 0.61743164, -0.017700195, 72.143555, -83.007805, 24.230955, 26.0, 34.0, 28.0, 0
49676, -0.9547119, 0.6401367, -0.0126953125, 78.308105, -90.08788, 20.26367, 26.0, 34.0, 28.0, 0
49698, -0.9562988, 0.63012695, -0.007080078, 76.66016, -91.186516, 20.996092, 26.0, 34.0, 28.0, 0
49715, -0.9436035, 0.63061523, -0.0053710938, 75.8667, -93.9331, 19.836426, 26.0, 34.0, 28.0, 0
49733, -0.98583984, 0.65283203, -0.021728516, 78.97949, -95.33691, 16.601562, 26.0, 34.0, 28.0, 0
49773, -0.94677734, 0.6392822, -0.03491211, 79.89502, -99.24316, 12.023925, 21.0, 41.0, 23.0, 0
49794, -0.96984863, 0.6464844, -0.025878906, 73.73047, -96.374504, 13.793944, 21.0, 41.0, 23.0, 0
49812, -0.96765137, 0.6888428, -0.030395508, 70.67871, -94.604485, 5.249023, 21.0, 41.0, 23.0, 0
49830, -0.9851074, 0.7062988, -0.039794922, 70.43457, -95.70312, -3.9062498, 21.0, 41.0, 23.0, 0
49851, -0.9211426, 0.6534424, -0.04724121, 73.54736, -96.92382, -4.9438477, 15.0, 42.0, 15.0, 0
49870, -0.92785645, 0.64367676, -0.059814453, 70.43457, -93.81103, -11.657714, 15.0, 42.0, 15.0, 0
49892, -0.935791, 0.734375, -0.07849121, 71.47217, -93.99413, -26.06201, 15.0, 42.0, 15.0, 0
49910, -0.9034424, 0.7418213, -0.07312012, 74.34082, -94.23827, -25.207518, 15.0, 42.0, 15.0, 0
49928, -0.8927002, 0.7116699, -0.08251953, 85.20507, -100.891106, -37.41455, 15.0, 42.0, 15.0, 0
49950, -0.9022217, 0.7163086, -0.12109375, 80.68847, -97.65624, -41.687008, 20.0, 48.0, 9.0, 0
49969, -0.8709717, 0.7746582, -0.10522461, 70.19043, -93.38378, -51.513668, 20.0, 48.0, 9.0, 0
49991, -0.8322754, 0.75097656, -0.0690918, 79.28467, -94.90966, -70.06836, 20.0, 48.0, 9.0, 0
50009, -0.85424805, 0.80371094, -0.05041504, 78.36914, -90.02685, -75.56152, 20.0, 48.0, 9.0, 0
50025, -0.8273926, 0.845459, -0.041015625, 86.3037, -91.55273, -81.54296, 20.0, 48.0, 9.0, 0
50047, -0.81347656, 0.8496094, -0.040283203, 92.40722, -93.01757, -88.98925, 20.0, 44.0, 1.0, 0
50066, -0.72265625, 0.83483887, -0.048095703, 105.16357, -94.360344, -100.34179, 20.0, 44.0, 1.0, 0
50090, -0.71875, 0.8791504, -0.01965332, 114.501945, -89.90478, -110.04638, 20.0, 44.0, 1.0, 0
50108, -0.7067871, 0.90856934, 0.02368164, 116.76025, -87.89062, -117.12646, 20.0, 44.0, 1.0, 0
50123, -0.6906738, 0.9259033, 0.03186035, 115.96679, -85.75439, -128.84521, 20.0, 44.0, 1.0, 0
50145, -0.6381836, 0.9688721, 0.04260254, 117.73681, -80.26123, -128.1128, 20.0, 44.0, 1.0, 0
50163, -0.65112305, 0.9901123, 0.07397461, 119.812004, -67.68799, -122.9248, 36.0, 43.0, 0.0, 0
