Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion
27755, -0.7669678, 0.4501953, 0.42578125, 3.7231443, -3.4179685, -1.586914, 24.0, 20.0, 33.0, 0
27737, -0.77075195, 0.4506836, 0.42456055, 3.967285, -3.6621091, -1.2817382, 24.0, 20.0, 33.0, 0
27776, -0.76257324, 0.45410156, 0.42297363, 4.272461, -3.4790037, -2.0141602, 24.0, 20.0, 33.0, 0
27794, -0.75720215, 0.44604492, 0.4243164, 5.249023, -3.7841794, -2.319336, 24.0, 20.0, 33.0, 0
27811, -0.7565918, 0.44067383, 0.42504883, 4.5166016, -3.7841794, -2.6855466, 24.0, 20.0, 33.0, 0
27831, -0.7607422, 0.44396973, 0.42614746, 3.7841794, -3.4179685, -1.9531249, 20.0, 20.0, 35.0, 0
27852, -0.7647705, 0.44592285, 0.4296875, 4.333496, -3.0517576, -1.2817382, 20.0, 20.0, 35.0, 0
27873, -0.7659912, 0.4423828, 0.4312744, 5.4931636, -3.173828, -2.0141602, 20.0, 20.0, 35.0, 0
27888, -0.76745605, 0.4432373, 0.43200684, 6.835937, -3.173828, -2.1362305, 20.0, 20.0, 35.0, 0
27906, -0.77111816, 0.44006348, 0.4333496, 6.896972, -3.0517576, -2.1972656, 20.0, 20.0, 35.0, 0
27927, -0.77404785, 0.4354248, 0.43322754, 6.408691, -2.5024414, -2.5634763, 22.0, 19.0, 33.0, 0
27947, -0.7750244, 0.4399414, 0.43554688, 6.896972, -2.0141602, -2.319336, 22.0, 19.0, 33.0, 0
27968, -0.7739258, 0.43518066, 0.43322754, 8.117676, -1.7700194, -2.1362305, 22.0, 19.0, 33.0, 0
27986, -0.7701416, 0.4296875, 0.4296875, 8.422852, -1.5258788, -2.6855466, 22.0, 19.0, 33.0, 0
28003, -0.7687988, 0.4284668, 0.4281006, 8.483887, -1.2207031, -2.5024414, 22.0, 19.0, 33.0, 0
28040, -0.770874, 0.42700195, 0.42822266, 8.117676, -1.3427733, -1.7089843, 23.0, 19.0, 36.0, 0
28023, -0.7685547, 0.42858887, 0.4296875, 8.117676, -1.0375977, -2.2583008, 22.0, 19.0, 33.0, 0
28062, -0.7722168, 0.42663574, 0.4272461, 8.178711, -1.4648436, -1.2817382, 23.0, 19.0, 36.0, 0
28080, -0.7735596, 0.42736816, 0.42687988, 7.568359, -1.6479491, -0.5493164, 23.0, 19.0, 36.0, 0
28097, -0.77453613, 0.4248047, 0.42626953, 7.141113, -1.7089843, -0.24414061, 23.0, 19.0, 36.0, 0
28119, -0.7747803, 0.42797852, 0.4276123, 6.5307612, -1.586914, -0.3662109, 23.0, 19.0, 36.0, 0
28137, -0.7718506, 0.4284668, 0.430542, 6.896972, -1.8310546, -0.122070305, 20.0, 19.0, 38.0, 0
28159, -0.7729492, 0.4210205, 0.42834473, 6.469726, -1.8310546, 0.5493164, 20.0, 19.0, 38.0, 0
28177, -0.774292, 0.41833496, 0.42871094, 4.699707, -1.4038085, 0.97656244, 20.0, 19.0, 38.0, 0
28194, -0.7735596, 0.42175293, 0.43029785, 3.601074, -1.0375977, 1.0986328, 20.0, 19.0, 38.0, 0
28232, -0.77111816, 0.42456055, 0.43103027, 3.4179685, -0.67138666, 0.8544921, 22.0, 23.0, 37.0, 0
28215, -0.770874, 0.4227295, 0.43225098, 3.601074, -0.793457, 0.97656244, 20.0, 19.0, 38.0, 0
28253, -0.7714844, 0.42297363, 0.43164062, 3.3569334, -0.67138666, 0.793457, 22.0, 23.0, 37.0, 0
28291, -0.77197266, 0.4326172, 0.4342041, 2.1972656, -0.3662109, 0.9155273, 22.0, 23.0, 37.0, 0
28270, -0.76867676, 0.42834473, 0.43286133, 2.380371, -0.3662109, 0.793457, 22.0, 23.0, 37.0, 0
28312, -0.7734375, 0.43603516, 0.43481445, 2.1362305, -0.42724606, 1.0375977, 22.0, 23.0, 37.0, 0
28346, -0.76953125, 0.44067383, 0.4411621, 2.380371, -0.8544921, 1.5258788, 22.0, 20.0, 37.0, 0
28329, -0.7714844, 0.44018555, 0.43566895, 2.319336, -0.67138666, 1.3427733, 22.0, 23.0, 37.0, 0
28367, -0.7807617, 0.43981934, 0.45251465, 3.601074, 0.0, 0.61035156, 22.0, 20.0, 37.0, 0
28389, -0.79296875, 0.4564209, 0.4720459, 9.399414, 0.48828122, -0.793457, 22.0, 20.0, 37.0, 0
28410, -0.7877197, 0.4645996, 0.4802246, 13.244628, 0.97656244, -1.4648436, 22.0, 20.0, 37.0, 0
28426, -0.78930664, 0.46240234, 0.50842285, 19.042969, 4.0283203, -4.0283203, 22.0, 20.0, 37.0, 0
28443, -0.7746582, 0.49230957, 0.53479004, 25.93994, 8.056641, -7.202148, 22.0, 18.0, 42.0, 0
