Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion
46360, -8.544922E-4, 0.97302246, -0.12060547, 0.48828122, -0.7324218, -0.97656244, 35.0, -14.0, -16.0, 0
46381, 6.1035156E-4, 0.98083496, -0.12414551, 0.793457, -0.61035156, -1.2817382, 35.0, -14.0, -16.0, 0
46399, 0.0026855469, 0.9864502, -0.12487793, 1.8920897, -0.5493164, -1.3427733, 35.0, -14.0, -16.0, 0
46420, 9.765625E-4, 0.9857178, -0.12109375, 2.0751953, -0.5493164, -1.2207031, 32.0, -16.0, -13.0, 0
46439, 0.0028076172, 0.9777832, -0.11743164, 1.6479491, -0.42724606, -0.42724606, 32.0, -16.0, -13.0, 0
46456, 0.004760742, 0.97766113, -0.11584473, 1.2207031, 0.0, -0.122070305, 32.0, -16.0, -13.0, 0
46481, 0.005859375, 0.9807129, -0.12158203, 1.2207031, 0.24414061, -0.122070305, 32.0, -16.0, -13.0, 0
46498, 0.0061035156, 0.98168945, -0.12463379, 1.0375977, 0.18310545, 0.061035153, 32.0, -16.0, -13.0, 0
46512, 0.0068359375, 0.9868164, -0.12683105, 1.0986328, 0.061035153, 0.061035153, 31.0, -14.0, -13.0, 0
46535, 0.0048828125, 0.9871826, -0.12524414, 1.7700194, 0.0, -0.122070305, 31.0, -14.0, -13.0, 0
46553, 0.005004883, 0.98168945, -0.12182617, 2.0751953, 0.0, -0.122070305, 31.0, -14.0, -13.0, 0
46578, 0.0052490234, 0.97766113, -0.11767578, 2.0141602, 0.122070305, 0.0, 31.0, -14.0, -13.0, 0
46596, 0.005493164, 0.98132324, -0.11645508, 2.6855466, 0.67138666, -0.18310545, 31.0, -14.0, -13.0, 0
46613, 0.0056152344, 0.9836426, -0.118774414, 3.2958982, 1.0986328, -0.24414061, 33.0, -14.0, -17.0, 0
46635, 0.0059814453, 0.9819336, -0.119628906, 3.0517576, 1.0986328, -0.061035153, 33.0, -14.0, -17.0, 0
46653, 0.00793457, 0.9736328, -0.1282959, 1.6479491, 0.5493164, 0.793457, 33.0, -14.0, -17.0, 0
46675, 0.006225586, 0.989624, -0.12878418, 1.4038085, 0.61035156, 0.48828122, 33.0, -14.0, -17.0, 0
