Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion
510569, 0.90844727, -0.111206055, -0.4267578, -5.676269, -5.5541987, 1.6479491, 6.0, -26.0, 9.0, 0
510587, 0.907959, -0.104003906, -0.4140625, -3.7231443, -4.333496, -0.3662109, 6.0, -26.0, 9.0, 0
510608, 0.907959, -0.10986328, -0.4111328, -0.3662109, -3.234863, -0.9155273, 6.0, -26.0, 9.0, 0
510627, 0.90734863, -0.123291016, -0.4156494, 0.61035156, -2.807617, -0.97656244, 6.0, -26.0, 9.0, 0
510645, 0.9088135, -0.12561035, -0.4136963, 0.24414061, -1.9531249, -1.0375977, 6.0, -26.0, 9.0, 0
510661, 0.9124756, -0.1303711, -0.4053955, -0.42724606, -1.0986328, -0.18310545, 8.0, -24.0, 6.0, 0
510684, 0.90893555, -0.1385498, -0.40039062, -0.7324218, 0.18310545, 0.48828122, 8.0, -24.0, 6.0, 0
510704, 0.90893555, -0.13928223, -0.4033203, -1.159668, 0.24414061, 0.0, 8.0, -24.0, 6.0, 0
510723, 0.90966797, -0.1348877, -0.4020996, -1.7089843, 0.0, -0.7324218, 8.0, -24.0, 6.0, 0
510741, 0.9090576, -0.13049316, -0.39123535, -1.5258788, 0.0, -0.793457, 8.0, -24.0, 6.0, 0
510760, 0.90844727, -0.12609863, -0.39013672, -0.7324218, -0.30517578, -1.5258788, 9.0, -24.0, 10.0, 0
510786, 0.90600586, -0.12109375, -0.39257812, 0.122070305, -0.67138666, -2.5024414, 9.0, -24.0, 10.0, 0
510803, 0.90625, -0.12207031, -0.3869629, 0.42724606, -0.5493164, -2.5634763, 9.0, -24.0, 10.0, 0
510824, 0.911499, -0.1315918, -0.3922119, 0.67138666, -0.8544921, -1.7700194, 9.0, -24.0, 10.0, 0
510842, 0.90686035, -0.12927246, -0.40283203, -0.122070305, -1.159668, -1.8310546, 9.0, -24.0, 10.0, 0
510858, 0.91101074, -0.123046875, -0.40673828, -0.793457, -1.0986328, -1.8310546, 7.0, -25.0, 9.0, 0
510883, 0.91833496, -0.13049316, -0.40527344, -1.0375977, -0.97656244, -1.3427733, 7.0, -25.0, 9.0, 0
510900, 0.9187012, -0.140625, -0.40478516, -0.18310545, -0.793457, -1.6479491, 7.0, -25.0, 9.0, 0
510918, 0.91345215, -0.13366699, -0.413208, 0.24414061, -0.8544921, -2.380371, 7.0, -25.0, 9.0, 0
510935, 0.91845703, -0.13171387, -0.4161377, 0.7324218, -1.3427733, -3.967285, 7.0, -25.0, 9.0, 0
510957, 0.9329834, -0.14489746, -0.4058838, 0.122070305, -1.586914, -4.211426, 5.0, -26.0, 10.0, 0
510976, 0.9359131, -0.15136719, -0.40441895, -0.48828122, -2.0141602, -4.8828125, 5.0, -26.0, 10.0, 0
510993, 0.94189453, -0.16479492, -0.40979004, -2.0141602, -2.380371, -5.7983394, 5.0, -26.0, 10.0, 0
511013, 0.9659424, -0.16931152, -0.41210938, -3.4790037, -2.5634763, -6.9580073, 5.0, -26.0, 10.0, 0
511031, 1.0102539, -0.1821289, -0.42236328, -4.272461, -3.601074, -7.8735347, 5.0, -26.0, 10.0, 0
511048, 1.0533447, -0.18444824, -0.44104004, -4.760742, -3.5400388, -11.230468, 5.0, -26.0, 10.0, 0
511068, 1.1082764, -0.19628906, -0.4892578, -4.638672, -3.2958982, -14.22119, 7.0, -28.0, 8.0, 0
511087, 1.1503906, -0.23388672, -0.5423584, -9.58252, -4.8828125, -24.04785, 7.0, -28.0, 8.0, 0
511110, 1.1829834, -0.2626953, -0.5316162, -11.96289, -5.4931636, -26.855467, 7.0, -28.0, 8.0, 0
511128, 1.2196045, -0.3433838, -0.50476074, -13.183593, -5.615234, -31.921385, 7.0, -28.0, 8.0, 0
511145, 1.2286377, -0.38012695, -0.5001221, -12.695312, -5.3710933, -35.40039, 7.0, -28.0, 8.0, 0
511165, 1.2349854, -0.39331055, -0.49890137, -11.291503, -4.211426, -45.104977, 5.0, -25.0, 13.0, 0
511183, 1.2261963, -0.35559082, -0.49401855, -7.568359, -2.868652, -54.01611, 5.0, -25.0, 13.0, 0
511204, 1.2011719, -0.35290527, -0.48986816, -1.159668, -2.319336, -57.495113, 5.0, -25.0, 13.0, 0
511221, 1.1676025, -0.40722656, -0.46984863, 4.3945312, -2.868652, -53.89404, 5.0, -25.0, 13.0, 0
511238, 1.158081, -0.43188477, -0.4263916, 8.605957, -1.0986328, -51.147457, 5.0, -25.0, 13.0, 0
511259, 1.1159668, -0.43078613, -0.39501953, 11.169433, 0.67138666, -50.10986, 0.0, -27.0, 9.0, 0
511278, 1.048584, -0.42053223, -0.375, 13.671874, 3.3569334, -39.367676, 0.0, -27.0, 9.0, 0
511300, 0.99768066, -0.42944336, -0.35559082, 13.366698, 3.0517576, -32.65381, 0.0, -27.0, 9.0, 0
