Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion
1941440, -0.006713867, 0.63671875, -0.7784424, 4.1503906, 0.8544921, -0.30517578, 67.0, 0.0, -20.0, 0
1941459, -0.014282227, 0.6311035, -0.7775879, 2.7465818, 0.24414061, 0.30517578, 67.0, 0.0, -20.0, 0
1941475, -0.010864258, 0.62927246, -0.7675781, 1.6479491, 0.3662109, 0.24414061, 67.0, 0.0, -20.0, 0
1941496, -0.0076904297, 0.63720703, -0.7734375, 1.6479491, 0.3662109, 0.24414061, 67.0, 0.0, -20.0, 0
1941505, -0.0076904297, 0.63720703, -0.7734375, 1.7089843, 0.48828122, -0.8544921, 67.0, 0.0, -20.0, 0
1941517, -0.014526367, 0.6447754, -0.7816162, 1.8310546, 0.30517578, -1.2817382, 67.0, 0.0, -20.0, 0
1941535, -0.008056641, 0.64245605, -0.7799072, 1.7700194, -0.18310545, -0.3662109, 64.0, 0.0, -16.0, 0
1941560, -0.0037841797, 0.62854004, -0.76989746, 0.061035153, -0.30517578, 1.0375977, 64.0, 0.0, -16.0, 0
1941578, -0.011474609, 0.6390381, -0.7642822, -0.7324218, -0.61035156, -0.30517578, 64.0, 0.0, -16.0, 0
1941599, -0.015014648, 0.6446533, -0.7774658, -0.122070305, -0.97656244, -1.4038085, 64.0, 0.0, -16.0, 0
1941617, -0.01550293, 0.6435547, -0.7788086, 0.0, -1.0986328, -0.8544921, 64.0, 0.0, -16.0, 0
1941635, -0.017822266, 0.6444092, -0.77038574, 0.97656244, -0.8544921, 0.061035153, 67.0, -2.0, -20.0, 0
1941658, -0.016601562, 0.62890625, -0.7614746, 1.0375977, -0.48828122, 0.30517578, 67.0, -2.0, -20.0, 0
1941676, -0.01965332, 0.62927246, -0.76135254, -1.3427733, -0.42724606, -0.48828122, 67.0, -2.0, -20.0, 0
1941698, -0.0146484375, 0.64172363, -0.75756836, -1.5258788, -0.30517578, -0.8544921, 67.0, -2.0, -20.0, 0
1941716, -0.0056152344, 0.6419678, -0.7606201, -1.7089843, 0.8544921, 0.30517578, 67.0, -2.0, -20.0, 0
1941733, -0.0052490234, 0.6357422, -0.765625, -2.380371, 0.793457, 0.42724606, 67.0, 0.0, -18.0, 0
1941755, -0.013427734, 0.63378906, -0.78271484, -5.0659175, 0.42724606, -0.24414061, 67.0, 0.0, -18.0, 0
1941773, -0.018432617, 0.64697266, -0.782959, -5.249023, 0.48828122, -0.97656244, 67.0, 0.0, -18.0, 0
1941794, -0.020141602, 0.65515137, -0.7838135, -3.8452146, 0.3662109, -0.3662109, 67.0, 0.0, -18.0, 0
1941812, -0.020507812, 0.63952637, -0.7852783, -1.7700194, 0.24414061, 0.48828122, 67.0, 0.0, -18.0, 0
1941829, -0.018188477, 0.6314697, -0.7952881, -0.9155273, -0.61035156, -0.122070305, 65.0, -1.0, -17.0, 0
1941853, -0.017822266, 0.6563721, -0.81030273, 3.1127927, -1.7089843, -2.1972656, 65.0, -1.0, -17.0, 0
1941871, -0.01171875, 0.66174316, -0.8039551, 9.155273, -2.0751953, -1.586914, 65.0, -1.0, -17.0, 0
1941892, -0.00390625, 0.6583252, -0.8054199, 14.648437, -2.2583008, -2.868652, 65.0, -1.0, -17.0, 0
1941910, 0.0, 0.6616211, -0.8104248, 21.667479, -2.4414062, -4.5776367, 65.0, -1.0, -17.0, 0
1941928, -0.0053710938, 0.6932373, -0.81848145, 37.17041, -3.2958982, -8.422852, 63.0, -4.0, -16.0, 0
1941951, -0.018554688, 0.81640625, -0.81689453, 73.24219, -2.1972656, -21.728514, 63.0, -4.0, -16.0, 0
1941969, 0.010253906, 0.8927002, -0.77319336, 119.20165, 5.249023, -30.151365, 63.0, -4.0, -16.0, 0
1941990, 0.024902344, 0.83117676, -0.75219727, 153.68652, 8.483887, -28.44238, 63.0, -4.0, -16.0, 0
1942008, 0.01574707, 0.8034668, -0.7208252, 170.59325, 6.2255855, -29.541014, 63.0, -4.0, -16.0, 0
1942027, 0.026855469, 0.7980957, -0.6599121, 177.06297, 2.868652, -27.343748, 66.0, -3.0, -1.0, 0
