Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion
427287, -0.756958, 0.60058594, -0.41723633, 40.52734, -6.103515, -18.554688, 53.0, 19.0, -3.0, 0
427308, -0.74523926, 0.618042, -0.4169922, 47.546383, -4.760742, -23.681639, 53.0, 21.0, -3.0, 0
427330, -0.7390137, 0.69592285, -0.42822266, 54.01611, -4.4555664, -34.057617, 53.0, 21.0, -3.0, 0
427350, -0.7401123, 0.822876, -0.41931152, 64.697266, -4.8828125, -51.330563, 53.0, 21.0, -3.0, 0
427368, -0.70654297, 0.8498535, -0.4050293, 80.50536, -6.103515, -67.81006, 53.0, 21.0, -3.0, 0
427388, -0.6951904, 0.78637695, -0.39001465, 83.251945, -6.347656, -74.157715, 53.0, 21.0, -3.0, 0
427406, -0.6906738, 0.7376709, -0.36047363, 57.739254, -1.7089843, -81.66503, 54.0, 16.0, 3.0, 0
427430, -0.6713867, 0.7125244, -0.36071777, 27.221678, 2.7465818, -82.641594, 54.0, 16.0, 3.0, 0
427450, -0.6221924, 0.814209, -0.36584473, 0.793457, 7.690429, -87.09716, 54.0, 16.0, 3.0, 0
427473, -0.5858154, 0.86779785, -0.33422852, -15.319823, 12.634276, -93.9331, 54.0, 16.0, 3.0, 0
427490, -0.5579834, 0.8503418, -0.29077148, -24.963377, 17.028809, -98.14452, 54.0, 16.0, 3.0, 0
427508, -0.53686523, 0.8186035, -0.2652588, -30.151365, 21.850584, -96.67968, 56.0, 9.0, 3.0, 0
427551, -0.52282715, 0.7844238, -0.24975586, -50.59814, 26.977537, -87.82958, 56.0, 9.0, 3.0, 0
427533, -0.5157471, 0.7817383, -0.25732422, -35.40039, 25.146482, -89.5996, 56.0, 9.0, 3.0, 0
427574, -0.54296875, 0.8104248, -0.24743652, -64.086914, 30.029295, -91.00341, 56.0, 9.0, 3.0, 0
427594, -0.553833, 0.80908203, -0.22265625, -72.387695, 34.851074, -93.9331, 56.0, 9.0, 3.0, 0
427613, -0.5332031, 0.765625, -0.16809082, -79.3457, 40.89355, -92.712395, 56.0, 3.0, -5.0, 0
427632, -0.52648926, 0.70410156, -0.13122559, -94.360344, 48.21777, -86.05956, 56.0, 3.0, -5.0, 0
427651, -0.54663086, 0.7969971, -0.14074707, -112.97607, 55.969234, -89.172356, 56.0, 3.0, -5.0, 0
427674, -0.51208496, 0.92578125, -0.15808105, -119.68993, 62.6831, -99.36523, 56.0, 3.0, -5.0, 0
427694, -0.47192383, 0.947876, -0.18286133, -115.05126, 67.993164, -103.33251, 56.0, 3.0, -5.0, 0
427713, -0.40576172, 0.87609863, -0.24353027, -108.27636, 72.87598, -104.12597, 52.0, -2.0, -11.0, 0
427734, -0.3388672, 0.92419434, -0.31958008, -115.1123, 77.51465, -106.01806, 52.0, -2.0, -11.0, 0
427756, -0.32531738, 0.9885254, -0.3170166, -130.18799, 81.481926, -113.95263, 52.0, -2.0, -11.0, 0
