Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion
920806, 0.029296875, 0.6744385, 0.73547363, -0.18310545, 0.0, -4.8217773, 46.0, -6.0, 20.0, 0
920823, 0.030151367, 0.6612549, 0.7335205, 2.7465818, -0.61035156, -5.676269, 46.0, -6.0, 20.0, 0
920840, 0.029907227, 0.6538086, 0.73461914, 3.1127927, -0.9155273, -5.676269, 46.0, -6.0, 20.0, 0
920860, 0.024902344, 0.6488037, 0.74316406, 4.211426, -1.5258788, -5.004883, 47.0, -9.0, 23.0, 0
920879, 0.02331543, 0.6385498, 0.74780273, 6.6528316, -1.7700194, -4.5166016, 47.0, -9.0, 23.0, 0
920901, 0.02722168, 0.6225586, 0.74572754, 9.765625, -1.8310546, -4.3945312, 47.0, -9.0, 23.0, 0
920921, 0.03503418, 0.5991211, 0.7459717, 13.0615225, -2.5024414, -3.173828, 47.0, -9.0, 23.0, 0
920937, 0.03894043, 0.57702637, 0.75061035, 16.784668, -2.9907224, -1.0986328, 47.0, -9.0, 23.0, 0
920955, 0.04296875, 0.56066895, 0.776001, 21.972654, -3.2958982, 1.0986328, 48.0, -7.0, 30.0, 0
920979, 0.0390625, 0.552124, 0.8133545, 27.9541, -4.0283203, 3.234863, 48.0, -7.0, 30.0, 0
920996, 0.02355957, 0.54333496, 0.84375, 32.226562, -3.5400388, 3.601074, 48.0, -7.0, 30.0, 0
921019, 0.0064697266, 0.55236816, 0.8590088, 35.339355, -3.173828, 1.8920897, 48.0, -7.0, 30.0, 0
921036, -0.005126953, 0.5498047, 0.86621094, 39.367676, -2.1972656, 0.48828122, 48.0, -7.0, 30.0, 0
921054, 0.0, 0.541626, 0.8597412, 39.855957, 0.97656244, -1.9531249, 46.0, -8.0, 29.0, 0
921076, 0.009399414, 0.5428467, 0.8466797, 38.94043, 2.7465818, -2.868652, 46.0, -8.0, 29.0, 0
921093, 0.01928711, 0.53125, 0.83569336, 29.785154, 7.7514644, -0.61035156, 46.0, -8.0, 29.0, 0
921117, 0.0234375, 0.5361328, 0.8175049, 17.944336, 11.047362, 2.868652, 46.0, -8.0, 29.0, 0
921134, 0.02355957, 0.5571289, 0.796875, 3.8452146, 14.09912, 8.117676, 46.0, -8.0, 29.0, 0
921150, 0.020019531, 0.5809326, 0.7849121, -1.9531249, 15.258788, 10.31494, 44.0, -6.0, 25.0, 0
921173, 0.014526367, 0.6444092, 0.7475586, -14.831542, 15.624999, 13.000487, 44.0, -6.0, 25.0, 0
921190, 0.006958008, 0.68078613, 0.72143555, -18.127441, 14.831542, 13.000487, 44.0, -6.0, 25.0, 0
921213, -2.4414062E-4, 0.71533203, 0.6951904, -21.972654, 12.20703, 13.000487, 44.0, -6.0, 25.0, 0
921230, -0.0025634766, 0.7252197, 0.68518066, -21.850584, 8.361816, 12.268065, 44.0, -6.0, 25.0, 0
921248, -0.00390625, 0.73010254, 0.6772461, -19.592285, 4.0893555, 9.460449, 45.0, -5.0, 21.0, 0
921270, 0.0013427734, 0.72216797, 0.68652344, -16.784668, -0.30517578, 6.469726, 45.0, -5.0, 21.0, 0
921287, 0.0053710938, 0.7109375, 0.7072754, -13.488769, -3.9062498, 4.8828125, 45.0, -5.0, 21.0, 0
921310, 0.012939453, 0.6861572, 0.73657227, -9.094238, -7.0190425, 2.0141602, 45.0, -5.0, 21.0, 0
921327, 0.017333984, 0.6590576, 0.7668457, -5.5541987, -9.338379, -1.159668, 45.0, -5.0, 21.0, 0
921345, 0.01965332, 0.64038086, 0.7807617, -2.868652, -10.559081, -4.5776367, 45.0, -5.0, 21.0, 0
921369, 0.018310547, 0.6329346, 0.789917, 0.061035153, -10.925292, -7.4462886, 44.0, -7.0, 25.0, 0
921387, 0.016967773, 0.6208496, 0.8029785, 4.211426, -11.047362, -9.277344, 44.0, -7.0, 25.0, 0
921408, 0.018554688, 0.5965576, 0.8198242, 7.141113, -10.31494, -10.803222, 44.0, -7.0, 25.0, 0
921425, 0.023803711, 0.57592773, 0.82751465, 7.995605, -9.58252, -11.596679, 44.0, -7.0, 25.0, 0
921441, 0.030273438, 0.55895996, 0.8302002, 9.094238, -7.568359, -12.634276, 44.0, -7.0, 25.0, 0
921463, 0.034301758, 0.5482178, 0.8309326, 10.19287, -5.4931636, -12.451171, 46.0, -8.0, 22.0, 0
921480, 0.043823242, 0.5262451, 0.8342285, 9.277344, -3.3569334, -11.352538, 46.0, -8.0, 22.0, 0
921501, 0.049194336, 0.5119629, 0.83825684, 5.7983394, -0.8544921, -9.460449, 46.0, -8.0, 22.0, 0
921519, 0.049682617, 0.5093994, 0.83618164, 2.0751953, 1.4648436, -6.9580073, 46.0, -8.0, 22.0, 0
921537, 0.05053711, 0.52001953, 0.8267822, -1.0986328, 3.234863, -4.5776367, 46.0, -8.0, 22.0, 0
921558, 0.05126953, 0.5423584, 0.81555176, -2.380371, 4.0283203, -2.1362305, 46.0, -10.0, 21.0, 0
921575, 0.052490234, 0.55908203, 0.8063965, -2.0141602, 4.5166016, 0.122070305, 46.0, -10.0, 21.0, 0
921595, 0.052246094, 0.5723877, 0.79919434, -1.8920897, 4.8217773, 1.0375977, 46.0, -10.0, 21.0, 0
921613, 0.053344727, 0.5794678, 0.7947998, -1.7700194, 5.310058, 2.4414062, 46.0, -10.0, 21.0, 0
921630, 0.056884766, 0.59606934, 0.7825928, -1.4038085, 5.5541987, 3.967285, 46.0, -10.0, 21.0, 0
921651, 0.053466797, 0.6152344, 0.7741699, -1.0375977, 5.4931636, 5.0659175, 44.0, -4.0, 26.0, 0
921668, 0.049316406, 0.6287842, 0.77111816, -0.5493164, 5.4321284, 5.310058, 44.0, -4.0, 26.0, 0
921688, 0.0435791, 0.640625, 0.7714844, 0.42724606, 5.3710933, 4.9438477, 44.0, -4.0, 26.0, 0
921705, 0.037475586, 0.6496582, 0.7687988, 1.159668, 5.310058, 4.760742, 44.0, -4.0, 26.0, 0
921722, 0.0345459, 0.6517334, 0.7669678, 2.6245115, 5.187988, 4.0283203, 44.0, -4.0, 26.0, 0
921742, 0.025634766, 0.6491699, 0.7619629, 3.3569334, 5.004883, 2.868652, 44.0, -4.0, 26.0, 0
921760, 0.020019531, 0.6431885, 0.7579346, 3.7231443, 4.638672, 1.7089843, 43.0, -6.0, 23.0, 0
921785, 0.011962891, 0.63134766, 0.75439453, 3.601074, 4.211426, 0.9155273, 43.0, -6.0, 23.0, 0
921802, 0.011474609, 0.6253662, 0.7561035, 3.3569334, 3.4790037, 0.30517578, 43.0, -6.0, 23.0, 0
921819, 0.014160156, 0.6135254, 0.76013184, 3.0517576, 2.5024414, -0.48828122, 43.0, -6.0, 23.0, 0
921840, 0.017456055, 0.60668945, 0.7631836, 3.0517576, 1.5258788, -1.2207031, 43.0, -6.0, 23.0, 0
921857, 0.023925781, 0.6015625, 0.7647705, 3.3569334, 0.9155273, -1.7700194, 46.0, -10.0, 18.0, 0
921880, 0.028198242, 0.5982666, 0.76831055, 2.807617, 0.42724606, -2.1362305, 46.0, -10.0, 18.0, 0
921897, 0.032348633, 0.6015625, 0.776001, 2.4414062, 0.18310545, -2.1362305, 46.0, -10.0, 18.0, 0
921914, 0.03100586, 0.6094971, 0.78564453, 2.5024414, -0.24414061, -1.4648436, 46.0, -10.0, 18.0, 0
