Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion
1417082, -0.8865967, 0.35583496, -0.21960449, 4.211426, -2.380371, -1.586914, 46.0, 17.0, -9.0, 0
1417100, -0.88256836, 0.35375977, -0.21704102, 5.004883, -2.6245115, 0.97656244, 46.0, 17.0, -9.0, 0
1417121, -0.8840332, 0.34033203, -0.21606445, 5.004883, -2.380371, 0.97656244, 46.0, 17.0, -9.0, 0
1417138, -0.8848877, 0.33605957, -0.21459961, 4.272461, -1.4648436, -0.18310545, 46.0, 17.0, -9.0, 0
1417155, -0.8898926, 0.3453369, -0.21166992, 2.5634763, -0.24414061, -1.4038085, 46.0, 17.0, -9.0, 0
1417192, -0.8927002, 0.3605957, -0.21350098, 0.18310545, 0.5493164, -0.9155273, 52.0, 19.0, -9.0, 0
1417231, -0.8988037, 0.36328125, -0.2130127, -0.9155273, 1.4038085, -1.5258788, 52.0, 19.0, -9.0, 0
1417248, -0.90148926, 0.36743164, -0.21325684, -0.8544921, 1.4038085, -2.0141602, 52.0, 19.0, -9.0, 0
1417265, -0.8991699, 0.37219238, -0.21069336, 0.97656244, 1.0375977, -2.1362305, 52.0, 19.0, -9.0, 0
1417285, -0.89746094, 0.36865234, -0.20776367, 3.7841794, 0.97656244, -2.4414062, 48.0, 19.0, -10.0, 0
1417303, -0.9012451, 0.36621094, -0.20715332, 6.5307612, 0.793457, -2.807617, 48.0, 19.0, -10.0, 0
1417325, -0.89611816, 0.3638916, -0.20800781, 9.033203, 0.48828122, -2.380371, 48.0, 19.0, -10.0, 0
1417343, -0.8909912, 0.3638916, -0.20800781, 10.131835, 0.24414061, -1.586914, 48.0, 19.0, -10.0, 0
1417360, -0.89367676, 0.3626709, -0.20629883, 10.19287, 0.122070305, -1.3427733, 48.0, 19.0, -10.0, 0
1417381, -0.89941406, 0.36169434, -0.20373535, 9.887695, 0.0, -0.5493164, 51.0, 19.0, -8.0, 0
1417399, -0.90405273, 0.36401367, -0.20080566, 9.033203, -0.24414061, 0.5493164, 51.0, 19.0, -8.0, 0
1417420, -0.9030762, 0.36462402, -0.20129395, 8.178711, -0.48828122, 1.2817382, 51.0, 19.0, -8.0, 0
1417438, -0.9033203, 0.36437988, -0.20275879, 7.629394, -0.793457, 2.1362305, 51.0, 19.0, -8.0, 0
1417455, -0.9082031, 0.3635254, -0.20605469, 7.568359, -0.9155273, 2.7465818, 51.0, 19.0, -8.0, 0
1417476, -0.91296387, 0.36462402, -0.20861816, 6.896972, -0.61035156, 2.380371, 51.0, 19.0, -8.0, 0
1417493, -0.9136963, 0.36621094, -0.21716309, 6.469726, -0.48828122, 2.0141602, 52.0, 19.0, -9.0, 0
1417515, -0.9100342, 0.3725586, -0.23425293, 6.103515, -1.4648436, 1.2207031, 52.0, 19.0, -9.0, 0
1417535, -0.9055176, 0.36816406, -0.2364502, 7.93457, -2.2583008, 0.61035156, 52.0, 19.0, -9.0, 0
1417555, -0.8911133, 0.36071777, -0.22888184, 10.31494, -2.4414062, 0.122070305, 52.0, 19.0, -9.0, 0
1417575, -0.87805176, 0.35668945, -0.23254395, 12.390136, -2.868652, -0.42724606, 52.0, 19.0, -9.0, 0
1417592, -0.88305664, 0.359375, -0.24731445, 13.183593, -3.5400388, -0.7324218, 51.0, 17.0, -7.0, 0
1417614, -0.88464355, 0.35266113, -0.2578125, 11.352538, -4.5166016, -0.97656244, 51.0, 17.0, -7.0, 0
1417634, -0.87109375, 0.3449707, -0.25146484, 9.70459, -5.187988, -1.3427733, 51.0, 17.0, -7.0, 0
1417651, -0.8568115, 0.34631348, -0.24023438, 10.31494, -5.3710933, -1.7089843, 51.0, 17.0, -7.0, 0
1417671, -0.84716797, 0.34423828, -0.23303223, 11.230468, -5.5541987, -1.9531249, 51.0, 17.0, -7.0, 0
1417689, -0.8469238, 0.33911133, -0.2319336, 15.319823, -5.249023, -2.6245115, 51.0, 18.0, -6.0, 0
1417715, -0.88549805, 0.33166504, -0.2401123, 16.235352, -3.1127927, -4.699707, 51.0, 18.0, -6.0, 0
1417733, -0.9107666, 0.3400879, -0.24145508, 13.000487, -0.48828122, -6.7138667, 51.0, 18.0, -6.0, 0
1417750, -0.92407227, 0.3527832, -0.23657227, 10.803222, 0.48828122, -6.896972, 51.0, 18.0, -6.0, 0
1417768, -0.92871094, 0.35791016, -0.234375, 7.3242183, 1.9531249, -5.981445, 51.0, 18.0, -6.0, 0
1417785, -0.92297363, 0.3602295, -0.23400879, 7.0190425, 2.9907224, -4.4555664, 54.0, 19.0, -6.0, 0
1417807, -0.90979004, 0.36413574, -0.23144531, 8.7890625, 4.8217773, -3.967285, 54.0, 19.0, -6.0, 0
1417824, -0.8878174, 0.3623047, -0.23364258, 10.253905, 6.774902, -4.272461, 54.0, 19.0, -6.0, 0
1417841, -0.8609619, 0.3609619, -0.23901367, 10.498046, 8.056641, -4.0283203, 54.0, 19.0, -6.0, 0
