Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion
18663, 0.31176758, -0.86499023, -0.36572266, -45.8374, 40.039062, -119.44579, -27.0, -6.0, -6.0, 0
18682, 0.45495605, -0.81225586, -0.34204102, -51.208492, 41.25976, -114.257805, -25.0, 7.0, -1.0, 0
18704, 0.41723633, -0.81311035, -0.39501953, -53.161617, 44.982906, -109.31396, -25.0, 7.0, -1.0, 0
18721, 0.2935791, -0.97314453, -0.45532227, -74.035645, 46.20361, -94.604485, -25.0, 7.0, -1.0, 0
18739, 0.3031006, -1.0743408, -0.3873291, -102.47802, 46.20361, -88.86718, -25.0, 7.0, -1.0, 0
18760, 0.28308105, -1.0883789, -0.38891602, -115.78368, 44.7998, -88.43993, -25.0, 7.0, -1.0, 0
18778, 0.18908691, -1.1046143, -0.40722656, -137.75635, 32.287598, -84.899895, -20.0, 14.0, 11.0, 0
18799, 0.21679688, -1.0736084, -0.32714844, -139.89258, 27.526854, -83.251945, -20.0, 14.0, 11.0, 0
18816, 0.22460938, -1.0300293, -0.27661133, -128.78418, 22.766111, -82.8247, -20.0, 14.0, 11.0, 0
18833, 0.1508789, -0.9951172, -0.2133789, -100.21972, 24.353025, -80.26123, -20.0, 14.0, 11.0, 0
18855, 0.07885742, -1.0772705, -0.21728516, -75.8667, 24.230955, -68.603516, -20.0, 14.0, 11.0, 0
18874, 0.10058594, -1.1633301, -0.22143555, -60.79101, 20.202635, -52.97851, -20.0, 14.0, 11.0, 0
18892, 0.15441895, -1.1427002, -0.20251465, -47.119137, 16.235352, -46.874996, -18.0, 23.0, 19.0, 0
18915, 0.09399414, -1.1258545, -0.17858887, -35.52246, 16.296387, -45.410152, -18.0, 23.0, 19.0, 0
18933, 0.057128906, -1.2047119, -0.18664551, -38.391113, 13.305663, -30.639647, -18.0, 23.0, 19.0, 0
18954, 0.11657715, -1.1802979, -0.20617676, -44.616695, 5.4931636, -20.751951, -18.0, 23.0, 19.0, 0
18973, 0.10681152, -1.0961914, -0.21362305, -44.67773, -1.0986328, -21.057127, -18.0, 23.0, 19.0, 0
18991, 0.037841797, -1.024292, -0.18310547, -35.03418, -4.0893555, -16.723633, -14.0, 22.0, 21.0, 0
19013, 0.06237793, -0.9647217, -0.115478516, -11.413573, -3.5400388, -10.253905, -14.0, 22.0, 21.0, 0
19030, 0.1048584, -1.0354004, -0.099853516, 6.04248, -4.0893555, -4.9438477, -14.0, 22.0, 21.0, 0
19051, 0.0970459, -1.0830078, -0.1328125, 5.3710933, -8.117676, 0.67138666, -14.0, 22.0, 21.0, 0
19070, 0.05041504, -1.0543213, -0.11779785, 3.234863, -9.70459, 2.0141602, -14.0, 22.0, 21.0, 0
19088, 0.084228516, -1.0410156, -0.0892334, 4.211426, -9.338379, 4.699707, -13.0, 20.0, 23.0, 0
19110, 0.10266113, -1.0826416, -0.12536621, 5.7983394, -9.521484, 6.408691, -13.0, 20.0, 23.0, 0
19127, 0.10498047, -1.1574707, -0.115356445, -1.8920897, -13.0615225, 23.010252, -13.0, 20.0, 23.0, 0
19153, 0.14245605, -1.1367188, -0.063964844, -7.5073237, -14.343261, 35.7666, -13.0, 20.0, 23.0, 0
19171, 0.12414551, -1.2191162, -0.07800293, -5.676269, -13.610839, 40.89355, -13.0, 20.0, 23.0, 0
19189, 0.1439209, -1.3243408, -0.07507324, 2.807617, -8.7890625, 62.622066, -16.0, 21.0, 19.0, 0
19210, 0.19055176, -1.2454834, -0.047729492, 5.981445, -7.3242183, 68.115234, -16.0, 21.0, 19.0, 0
19227, 0.17443848, -1.1933594, -0.057861328, 17.333984, -3.4790037, 71.04492, -16.0, 21.0, 19.0, 0
19249, 0.13842773, -1.3109131, -0.09350586, 34.5459, 1.3427733, 80.749504, -16.0, 21.0, 19.0, 0
19267, 0.20349121, -1.3354492, -0.079956055, 44.738766, 3.4179685, 101.013176, -16.0, 21.0, 19.0, 0
19285, 0.27807617, -1.2055664, -0.06542969, 51.269527, 3.601074, 104.61425, -23.0, 15.0, 18.0, 0
19307, 0.23742676, -1.0683594, -0.111694336, 63.84277, 5.4321284, 99.6704, -23.0, 15.0, 18.0, 0
19324, 0.21838379, -1.0476074, -0.18615723, 75.62256, 4.5166016, 105.16357, -23.0, 15.0, 18.0, 0
19347, 0.3017578, -1.0029297, -0.17810059, 81.481926, 0.48828122, 111.93847, -23.0, 15.0, 18.0, 0
19364, 0.39794922, -0.9265137, -0.14978027, 87.95165, -0.8544921, 110.717766, -23.0, 15.0, 18.0, 0
19382, 0.37268066, -0.93640137, -0.17175293, 93.078606, -0.793457, 110.595695, -24.0, 0.0, 6.0, 0
19404, 0.3569336, -0.9605713, -0.19824219, 86.1206, -2.2583008, 115.35644, -24.0, 0.0, 6.0, 0
19422, 0.41015625, -0.92492676, -0.19445801, 74.58496, -4.638672, 115.66161, -24.0, 0.0, 6.0, 0
19442, 0.4477539, -0.8430176, -0.21728516, 67.07764, -5.1269526, 111.26708, -24.0, 0.0, 6.0, 0
19466, 0.4736328, -0.85375977, -0.22558594, 58.77685, -3.6621091, 118.408195, -24.0, 0.0, 6.0, 0
19483, 0.55249023, -0.8713379, -0.2767334, 46.81396, -6.835937, 129.6997, -28.0, -10.0, 4.0, 0
19542, 0.5999756, -0.6915283, -0.35717773, 18.127441, -11.474608, 130.49316, -28.0, -10.0, 4.0, 0
19524, 0.54748535, -0.73669434, -0.36486816, 23.986814, -9.82666, 127.4414, -28.0, -10.0, 4.0, 0
19506, 0.552124, -0.7940674, -0.33703613, 33.38623, -8.972168, 127.92968, -28.0, -10.0, 4.0, 0
19580, 0.7293701, -0.5661621, -0.28601074, 16.784668, -11.1083975, 127.19726, -24.0, -20.0, 0.0, 0
19602, 0.6845703, -0.47680664, -0.34313965, 17.700195, -10.437011, 121.704094, -24.0, -20.0, 0.0, 0
19620, 0.67211914, -0.44812012, -0.38708496, 17.456055, -12.023925, 119.26269, -24.0, -20.0, 0.0, 0
19638, 0.7232666, -0.4354248, -0.34362793, 14.160155, -12.939452, 122.9248, -24.0, -20.0, 0.0, 0
19662, 0.7644043, -0.38354492, -0.2565918, 12.390136, -11.352538, 122.13134, -24.0, -20.0, 0.0, 0
19680, 0.7573242, -0.3218994, -0.28857422, 10.0708, -8.7890625, 119.07958, -24.0, -20.0, 0.0, 0
19696, 0.74450684, -0.30041504, -0.33081055, 6.7138667, -8.850098, 116.333, -17.0, -33.0, 0.0, 0
19718, 0.7474365, -0.30737305, -0.3734131, -6.1645503, -11.96289, 117.06542, -17.0, -33.0, 0.0, 0
19736, 0.7763672, -0.24951172, -0.32250977, -8.544922, -11.352538, 114.135735, -17.0, -33.0, 0.0, 0
19757, 0.8126221, -0.17797852, -0.22314453, -8.422852, -6.408691, 110.90087, -17.0, -33.0, 0.0, 0
19774, 0.8137207, -0.1640625, -0.2548828, -5.3710933, -4.5776367, 111.45019, -17.0, -33.0, 0.0, 0
19792, 0.7889404, -0.10437012, -0.2993164, 0.5493164, -4.9438477, 106.2622, -5.0, -42.0, 0.0, 0
19815, 0.79260254, -0.020629883, -0.3453369, 7.5073237, -7.3242183, 98.20556, -5.0, -42.0, 0.0, 0
19833, 0.8736572, -0.14416504, -0.41235352, 4.4555664, -10.681151, 104.73632, -5.0, -42.0, 0.0, 0
19858, 0.89282227, -0.14904785, -0.29345703, -12.08496, -8.056641, 109.25292, -5.0, -42.0, 0.0, 0
19875, 0.7767334, 0.119506836, -0.19262695, -9.216309, -3.7841794, 91.12548, -5.0, -42.0, 0.0, 0
19890, 0.8387451, 0.1303711, -0.2611084, 12.023925, -4.272461, 79.65088, -2.0, -40.0, 4.0, 0
19912, 0.8643799, 0.05822754, -0.33288574, 16.967773, -8.056641, 79.22363, -2.0, -40.0, 4.0, 0
19930, 0.8483887, 0.16796875, -0.2956543, 10.253905, -8.239746, 71.28906, -2.0, -40.0, 4.0, 0
19954, 0.88391113, 0.12219238, -0.32751465, 3.3569334, -11.596679, 72.93701, -2.0, -40.0, 4.0, 0
19972, 0.9193115, 0.041625977, -0.37646484, -1.4038085, -14.770507, 75.13428, -2.0, -40.0, 4.0, 0
19989, 0.97802734, 0.059570312, -0.28149414, -13.244628, -16.967773, 75.01221, 2.0, -42.0, 0.0, 0
20012, 0.9522705, 0.22302246, -0.19030762, -11.352538, -15.624999, 70.55664, 2.0, -42.0, 0.0, 0
20051, 0.8413086, 0.14855957, -0.303833, 1.4648436, -14.831542, 70.251465, 2.0, -42.0, 0.0, 0
20030, 0.88952637, 0.21936035, -0.23999023, 3.7231443, -14.09912, 67.68799, 2.0, -42.0, 0.0, 0
20069, 0.8619385, 0.15600586, -0.3050537, -12.390136, -15.502929, 67.38281, 2.0, -42.0, 0.0, 0
20086, 0.90722656, 0.24597168, -0.26086426, -24.902342, -14.770507, 60.66894, 9.0, -46.0, 5.0, 0
20109, 0.8934326, 0.29699707, -0.22375488, -26.916502, -12.023925, 60.119625, 9.0, -46.0, 5.0, 0
20127, 0.9239502, 0.27539062, -0.22387695, -24.963377, -10.559081, 58.53271, 9.0, -46.0, 5.0, 0
20148, 0.8897705, 0.32641602, -0.22644043, -22.216795, -8.483887, 50.354, 9.0, -46.0, 5.0, 0
20165, 0.8496094, 0.3642578, -0.25708008, -22.705076, -8.728027, 43.334957, 9.0, -46.0, 5.0, 0
20183, 0.8779297, 0.38598633, -0.24743652, -6.5917964, -6.2866206, 36.193848, 15.0, -44.0, 3.0, 0
20205, 0.93847656, 0.37524414, -0.2548828, 10.0708, -4.211426, 27.099607, 15.0, -44.0, 3.0, 0
20223, 0.92785645, 0.32421875, -0.29736328, 6.835937, -5.4931636, 23.437498, 15.0, -44.0, 3.0, 0
20248, 0.9008789, 0.32946777, -0.30322266, -13.549804, -6.835937, 21.789549, 15.0, -44.0, 3.0, 0
20266, 0.8791504, 0.37072754, -0.28015137, -27.526854, -5.0659175, 17.27295, 15.0, -44.0, 3.0, 0
20280, 0.88378906, 0.35095215, -0.2376709, -18.127441, -3.7231443, 11.352538, 13.0, -42.0, 7.0, 0
20303, 0.95043945, 0.3614502, -0.22473145, 0.61035156, -3.3569334, 2.807617, 13.0, -42.0, 7.0, 0
20321, 0.921875, 0.37475586, -0.26611328, 1.0375977, -4.272461, 2.6855466, 13.0, -42.0, 7.0, 0
20342, 0.90722656, 0.29821777, -0.2939453, 0.18310545, -4.4555664, 5.310058, 13.0, -42.0, 7.0, 0
20359, 0.9425049, 0.25561523, -0.28796387, 5.615234, -5.0659175, 3.0517576, 13.0, -42.0, 7.0, 0
20377, 0.9666748, 0.26733398, -0.25524902, 2.1362305, -5.737304, 1.4648436, 13.0, -42.0, 7.0, 0
20397, 0.91882324, 0.31176758, -0.24841309, -5.4321284, -7.202148, 4.211426, 14.0, -46.0, 4.0, 0
20416, 0.9199219, 0.33422852, -0.26464844, 1.8920897, -5.1269526, 0.7324218, 14.0, -46.0, 4.0, 0
20440, 0.914917, 0.32617188, -0.2631836, 4.333496, -4.760742, -1.8920897, 14.0, -46.0, 4.0, 0
20458, 0.9067383, 0.29003906, -0.2409668, 5.0659175, -4.8828125, -1.8920897, 14.0, -46.0, 4.0, 0
20475, 0.8787842, 0.30297852, -0.21569824, 9.70459, -4.5776367, -1.0986328, 14.0, -46.0, 4.0, 0
20497, 0.9281006, 0.27001953, -0.23913574, 23.132322, -2.9296873, -3.7841794, 14.0, -43.0, 3.0, 0
20540, 0.90893555, 0.22937012, -0.24169922, -5.8593745, -2.9296873, 0.122070305, 14.0, -43.0, 3.0, 0
20516, 0.97424316, 0.19665527, -0.2734375, 16.540527, -2.5024414, -3.6621091, 14.0, -43.0, 3.0, 0
20558, 0.86499023, 0.29614258, -0.23510742, -1.8920897, -2.9907224, -0.24414061, 14.0, -43.0, 3.0, 0
20573, 0.9140625, 0.2783203, -0.23010254, 16.906738, -1.0375977, -4.1503906, 14.0, -43.0, 3.0, 0
20595, 0.9197998, 0.22973633, -0.2199707, 19.40918, -1.159668, -4.5776367, 11.0, -45.0, 6.0, 0
20613, 0.9400635, 0.22827148, -0.24951172, 5.981445, -3.0517576, -0.24414061, 11.0, -45.0, 6.0, 0
20638, 0.9226074, 0.25378418, -0.25061035, -5.8593745, -2.319336, 3.5400388, 11.0, -45.0, 6.0, 0
20656, 0.9041748, 0.32336426, -0.24243164, -1.7089843, -1.2207031, -2.5024414, 11.0, -45.0, 6.0, 0
20673, 0.9439697, 0.37426758, -0.23754883, 10.925292, -2.1972656, -10.009766, 11.0, -45.0, 6.0, 0
20695, 0.93969727, 0.3779297, -0.23400879, 17.578125, -3.234863, -11.413573, 15.0, -44.0, 2.0, 0
20714, 0.91503906, 0.39208984, -0.24304199, 18.066406, -2.5024414, -14.587401, 15.0, -44.0, 2.0, 0
20736, 0.90625, 0.42443848, -0.25183105, 24.04785, -0.5493164, -22.644041, 15.0, -44.0, 2.0, 0
