Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion
25351, -1.1650391, 0.4371338, -0.060546875, 53.89404, -30.456541, -25.329588, 29.0, 46.0, 12.0, 0
25370, -1.1014404, 0.33947754, -0.119018555, 85.57128, -36.193848, -31.005857, 29.0, 46.0, 12.0, 0
25386, -1.0804443, 0.30859375, -0.16503906, 96.862785, -39.916992, -34.42383, 29.0, 46.0, 12.0, 0
25425, -1.0170898, 0.17749023, -0.26208496, 114.68505, -54.50439, -29.663084, 29.0, 46.0, 12.0, 0
25407, -1.0512695, 0.24169922, -0.2401123, 113.64745, -47.85156, -33.203125, 29.0, 46.0, 12.0, 0
25441, -0.9807129, 0.16296387, -0.272583, 106.689445, -61.157223, -27.709959, 27.0, 43.0, 8.0, 0
25465, -0.98132324, 0.18615723, -0.30407715, 99.4873, -67.74902, -27.099607, 27.0, 43.0, 8.0, 0
25482, -0.9991455, 0.21691895, -0.29797363, 94.90966, -74.21875, -26.489256, 27.0, 43.0, 8.0, 0
25503, -0.993042, 0.26879883, -0.27368164, 94.90966, -78.125, -25.329588, 27.0, 43.0, 8.0, 0
25521, -0.9807129, 0.32470703, -0.25500488, 103.69872, -91.8579, -23.742674, 27.0, 43.0, 8.0, 0
25538, -0.9892578, 0.33996582, -0.25134277, 107.05566, -96.25243, -23.559568, 28.0, 42.0, 0.0, 0
25560, -1.0357666, 0.36108398, -0.24353027, 118.89648, -109.37499, -28.32031, 28.0, 42.0, 0.0, 0
25578, -1.050415, 0.3671875, -0.22351074, 122.68066, -111.87743, -30.578611, 28.0, 42.0, 0.0, 0
25600, -1.1030273, 0.40563965, -0.17553711, 128.2959, -114.56298, -34.606934, 28.0, 42.0, 0.0, 0
25618, -1.0877686, 0.42749023, -0.15270996, 135.80322, -115.35644, -40.344234, 28.0, 42.0, 0.0, 0
25636, -0.9996338, 0.43737793, -0.1315918, 144.104, -116.638176, -41.320797, 28.0, 42.0, 0.0, 0
25657, -0.93969727, 0.4423828, -0.14929199, 150.14648, -117.61474, -40.40527, 31.0, 42.0, -8.0, 0
25676, -0.9136963, 0.4716797, -0.13586426, 154.60205, -115.96679, -43.090816, 31.0, 42.0, -8.0, 0
25693, -0.8914795, 0.51794434, -0.079833984, 156.18896, -114.86816, -47.424313, 31.0, 42.0, -8.0, 0
25715, -0.88183594, 0.52819824, -0.03527832, 154.72412, -113.46435, -49.377438, 31.0, 42.0, -8.0, 0
